,value,data,startTime
545,142.0,2021-04-15,16:07:56
546,141.0,2021-04-15,16:07:59
547,141.0,2021-04-15,16:08:06
548,139.0,2021-04-15,16:08:11
549,137.0,2021-04-15,16:08:15
550,136.0,2021-04-15,16:08:23
551,135.0,2021-04-15,16:08:26
552,136.0,2021-04-15,16:08:31
553,135.0,2021-04-15,16:08:35
554,134.0,2021-04-15,16:08:43
555,134.0,2021-04-15,16:08:48
556,136.0,2021-04-15,16:08:52
557,137.0,2021-04-15,16:08:56
558,136.0,2021-04-15,16:08:59
559,135.0,2021-04-15,16:09:07
560,135.0,2021-04-15,16:09:13
561,135.0,2021-04-15,16:09:14
562,134.0,2021-04-15,16:09:22
563,134.0,2021-04-15,16:09:24
564,135.0,2021-04-15,16:09:30
565,132.0,2021-04-15,16:09:38
566,131.0,2021-04-15,16:09:41
567,131.0,2021-04-15,16:09:48
568,130.0,2021-04-15,16:09:49
569,129.0,2021-04-15,16:09:54
570,128.0,2021-04-15,16:10:02
571,128.0,2021-04-15,16:10:04
572,128.0,2021-04-15,16:10:12
573,128.0,2021-04-15,16:10:15
574,128.0,2021-04-15,16:10:22
575,128.0,2021-04-15,16:10:24
576,129.0,2021-04-15,16:10:29
577,129.0,2021-04-15,16:10:38
578,129.0,2021-04-15,16:10:39
579,129.0,2021-04-15,16:10:44
580,130.0,2021-04-15,16:10:53
581,129.0,2021-04-15,16:10:54
582,128.0,2021-04-15,16:11:01
583,127.0,2021-04-15,16:11:05
584,126.0,2021-04-15,16:11:10
585,126.0,2021-04-15,16:11:18
586,126.0,2021-04-15,16:11:19
587,124.0,2021-04-15,16:11:24
588,124.0,2021-04-15,16:11:30
589,124.0,2021-04-15,16:11:38
590,123.0,2021-04-15,16:11:40
591,122.0,2021-04-15,16:11:48
592,122.0,2021-04-15,16:11:49
593,120.0,2021-04-15,16:11:56
594,122.0,2021-04-15,16:12:03
595,123.0,2021-04-15,16:12:06
596,124.0,2021-04-15,16:12:11
597,123.0,2021-04-15,16:12:14
598,123.0,2021-04-15,16:12:23
